,pre_root_id,post_root_id,neuropil,syn_count,nt_type
6867,720575940634733537,720575940627066757,AL_L,12,ACH
6883,720575940613637782,720575940632403986,AL_L,27,ACH
6924,720575940633509949,720575940626143806,AL_L,23,SER
6927,720575940638513752,720575940632403986,AL_L,61,ACH
6981,720575940636767856,720575940606762686,AL_L,56,ACH
6983,720575940638513752,720575940613590501,AL_L,10,ACH
6984,720575940622242253,720575940640314190,AL_L,4,ACH
6987,720575940622242253,720575940616397122,AL_L,11,ACH
7001,720575940608376132,720575940606762686,AL_L,91,ACH
7054,720575940626726730,720575940623636701,AL_L,11,ACH
7066,720575940633802045,720575940630546540,AL_L,20,SER
7081,720575940610185221,720575940628023685,AL_L,57,ACH
7089,720575940623854311,720575940626143806,AL_L,14,SER
7091,720575940622242253,720575940606762686,AL_L,66,ACH
7116,720575940622084681,720575940617175965,AL_L,67,ACH
7124,720575940647978804,720575940606762686,AL_L,10,ACH
7133,720575940622972167,720575940623528925,AL_L,49,ACH
7137,720575940629906060,720575940630077558,AL_L,61,ACH
